发货快,performance,1
机子不错,audio_video,1
分辨率高,price,1
功能齐全,audio_video,1
拍照清晰,audio_video,1
外观不错,appearance,1
电量多,audio_video,1
手感棒,audio_video,1
画质清晰,audio_video,1
三星好,audio_video,1
三星很好,audio_video,1
外观好看,appearance,1
音效好,audio_video,1
屏幕灵敏,audio_video,1
速度快,performance,1
运行速度快,performance,1
画质清晰,audio_video,1
像素不错,audio_video,1
运行流畅,performance,1
音效棒,audio_video,1
待机时间久,performance,1
声音不错,audio_video,1
拍照效果好,audio_video,1
粉色好看,appearance,1
显示清晰,audio_video,1
音质不错,audio_video,1
音质棒,audio_video,1
速度还可以,performance,1
音效好,audio_video,1
颜色好看,appearance,1
音质完美,audio_video,1
手感不错,design,1
手机合适,brand_reputation,1
上网快,performance,1
速度快,performance,1
声音大,audio_video,-1
像素清晰,audio_video,1
手机不错,brand_reputation,1
系统一般,performance,-1
手感舒适,design,1
外形不错,appearance,1
音效好,audio_video,1
拍照效果清晰,audio_video,1
效果清晰,audio_video,1
电池耐用,performance,1
包装完好,audio_video,1
颜色不错,appearance,1
手感棒,audio_video,1
相机给力,performance,1
速度快,performance,1
运行速度快,performance,1
速度快,performance,1
运行速度快,performance,1
设计不错,appearance,1
运行流畅,performance,1
手感棒,audio_video,1
屏幕清晰,audio_video,1
运行速度流畅,performance,1
效果好,audio_video,1
扬声器好,audio_video,1
屏幕好,audio_video,1
外形新颖,appearance,1
质感不错,audio_video,1
色彩不错,audio_video,1
音响效果还可以,audio_video,1
音质不错,audio_video,1
大小合适,price,1
屏幕大小合适,price,1
手感不错,design,1
手机好,audio_video,1
外观好看,appearance,1
拍照效果清晰,audio_video,1
效果清晰,audio_video,1
拍照效果清晰,audio_video,1
效果清晰,audio_video,1
颜色漂亮,appearance,1
大小合适,price,1
拍照清晰,audio_video,1
系统流畅,performance,1
效果好,audio_video,1
外观完美,appearance,1
声音大,audio_video,-1
信号好,audio_video,1
电池续航长,performance,1
续航长,performance,1
手机很好,audio_video,1
手机不错,brand_reputation,1
手机不错,brand_reputation,1
待机时间还行,performance,1
大小合适,price,1
屏幕大小合适,price,1
音效好,audio_video,1
外观不错,appearance,1
待机长,performance,1
待机时间长,performance,1
音质好,audio_video,1
拍照清晰,audio_video,1
电池耐用,performance,1
电量足,performance,1
内存大,audio_video,1
手感好,audio_video,1
外观手感好,audio_video,1
屏幕色彩鲜艳,audio_video,1
色彩鲜艳,appearance,1
运行流畅,performance,1
